"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 743.8000, -68.428,  743.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 744.0000, -68.460,  744.0000, -90.427,  , ,  , ,  , ,  , ,  , 
 744.2000, -68.470,  744.2000, -86.072,  , ,  , ,  , ,  , ,  , 
 744.4000, -68.452,  744.4000, -84.821,  , ,  , ,  , ,  , ,  , 
 744.6000, -68.485,  744.6000, -84.189,  , ,  , ,  , ,  , ,  , 
 744.8000, -68.529,  744.8000, -83.410,  , ,  , ,  , ,  , ,  , 
 745.0000, -68.520,  745.0000, -82.192,  , ,  , ,  , ,  , ,  , 
 745.2000, -68.497,  745.2000, -81.523,  , ,  , ,  , ,  , ,  , 
 745.4000, -68.517,  745.4000, -81.790,  , ,  , ,  , ,  , ,  , 
 745.6000, -68.496,  745.6000, -82.635,  , ,  , ,  , ,  , ,  , 
 745.8000, -68.444,  745.8000, -83.583,  , ,  , ,  , ,  , ,  , 
 746.0000, -68.432,  746.0000, -86.127,  , ,  , ,  , ,  , ,  , 
 746.2000, -68.466,  746.2000, -94.676,  , ,  , ,  , ,  , ,  , 
 746.4000, -68.484,  746.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 746.6000, -68.456,  746.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 746.8000, -68.422,  746.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 747.0000, -68.429,  747.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 747.2000, -68.450,  747.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 747.4000, -68.419,  747.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 747.6000, -68.382,  747.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 747.8000, -68.392,  747.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 748.0000, -68.402,  748.0000, -93.821,  , ,  , ,  , ,  , ,  , 
 748.2000, -68.369,  748.2000, -86.474,  , ,  , ,  , ,  , ,  , 
 748.4000, -68.349,  748.4000, -85.445,  , ,  , ,  , ,  , ,  , 
 748.6000, -68.355,  748.6000, -86.955,  , ,  , ,  , ,  , ,  , 
 748.8000, -68.371,  748.8000, -88.384,  , ,  , ,  , ,  , ,  , 
 749.0000, -68.382,  749.0000, -87.390,  , ,  , ,  , ,  , ,  , 
 749.2000, -68.363,  749.2000, -86.741,  , ,  , ,  , ,  , ,  , 
 749.4000, -68.353,  749.4000, -87.635,  , ,  , ,  , ,  , ,  , 
 749.6000, -68.367,  749.6000, -86.206,  , ,  , ,  , ,  , ,  , 
 749.8000, -68.335,  749.8000, -85.910,  , ,  , ,  , ,  , ,  , 
 750.0000, -68.279,  750.0000, -88.198,  , ,  , ,  , ,  , ,  , 
 750.2000, -68.249,  750.2000, -95.690,  , ,  , ,  , ,  , ,  , 
 750.4000, -68.244,  750.4000, -94.226,  , ,  , ,  , ,  , ,  , 
 750.6000, -68.227,  750.6000, -87.106,  , ,  , ,  , ,  , ,  , 
 750.8000, -68.178,  750.8000, -85.374,  , ,  , ,  , ,  , ,  , 
 751.0000, -68.119,  751.0000, -85.233,  , ,  , ,  , ,  , ,  , 
 751.2000, -68.111,  751.2000, -85.097,  , ,  , ,  , ,  , ,  , 
 751.4000, -68.152,  751.4000, -83.834,  , ,  , ,  , ,  , ,  , 
 751.6000, -68.154,  751.6000, -82.982,  , ,  , ,  , ,  , ,  , 
 751.8000, -68.171,  751.8000, -82.510,  , ,  , ,  , ,  , ,  , 
 752.0000, -68.189,  752.0000, -81.637,  , ,  , ,  , ,  , ,  , 
 752.2000, -68.191,  752.2000, -80.888,  , ,  , ,  , ,  , ,  , 
 752.4000, -68.179,  752.4000, -80.767,  , ,  , ,  , ,  , ,  , 
 752.6000, -68.177,  752.6000, -80.833,  , ,  , ,  , ,  , ,  , 
 752.8000, -68.207,  752.8000, -80.793,  , ,  , ,  , ,  , ,  , 
 753.0000, -68.234,  753.0000, -80.788,  , ,  , ,  , ,  , ,  , 
 753.2000, -68.236,  753.2000, -80.661,  , ,  , ,  , ,  , ,  , 
 753.4000, -68.216,  753.4000, -80.654,  , ,  , ,  , ,  , ,  , 
 753.6000, -68.227,  753.6000, -80.943,  , ,  , ,  , ,  , ,  , 
 753.8000, -68.249,  753.8000, -81.059,  , ,  , ,  , ,  , ,  , 
 754.0000, -68.262,  754.0000, -81.346,  , ,  , ,  , ,  , ,  , 
 754.2000, -68.247,  754.2000, -82.415,  , ,  , ,  , ,  , ,  , 
